,movie,year,imdb,metascore,votes
1855,The Twilight Saga: Eclipse,(2010),5.0,58,214110
1856,Grown Ups,(I) (2010),5.9,30,213850
1857,Megamind,(2010),7.2,63,211365
1858,The Tourist,(I) (2010),6.0,37,209216
1859,Predators,(2010),6.4,51,201978
1860,Machete,(2010),6.6,60,183686
1861,Unstoppable,(2010),6.7,69,174776
1862,Blue Valentine,(2010),7.4,81,172198
1863,Knight and Day,(2010),6.3,46,171354
1864,Shrek Forever After,(2010),6.3,58,170443
1865,The Next Three Days,(2010),7.4,52,170421
1866,Love & Other Drugs,(2010),6.7,55,169740
1867,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,47,167028
1868,Get Him to the Greek,(2010),6.4,65,162731
1869,Tucker and Dale vs Evil,(2010),7.5,65,155643
1870,Inception,(2010),8.8,74,1872580
1871,Shutter Island,(2010),8.1,63,1024826
1872,Toy Story 3,(2010),8.3,92,699561
1873,Iron Man 2,(2010),7.0,57,670922
1874,Black Swan,(2010),8.0,79,656932
1875,How to Train Your Dragon,(2010),8.1,74,620187
1876,The King's Speech,(2010),8.0,88,600423
1877,The Social Network,(2010),7.7,95,575599
1878,Kick-Ass,(2010),7.6,66,502133
1879,Despicable Me,(2010),7.6,72,470798
1880,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65,433211
1881,Tangled,(2010),7.7,71,372590
1882,Alice in Wonderland,(I) (2010),6.4,53,362692
1883,Scott Pilgrim vs. the World,(2010),7.5,69,344531
1884,Easy A,(2010),7.1,72,334914
1885,127 Hours,(2010),7.6,82,327940
1886,The Town,(2010),7.5,74,326537
1887,The Fighter,(I) (2010),7.8,79,319697
1888,The Expendables,(2010),6.5,45,310862
1889,Due Date,(2010),6.5,51,306929
1890,Tron,(2010),6.8,49,298857
1891,True Grit,(2010),7.6,80,288151
1892,Salt,(2010),6.4,65,279738
1893,The Book of Eli,(2010),6.9,53,275483
1894,RED,(2010),7.0,60,274067
1895,Clash of the Titans,(2010),5.8,39,259126
1896,Insidious,(I) (2010),6.8,52,258531
1897,Prince of Persia: The Sands of Time,(2010),6.6,50,258128
1898,Robin Hood,(2010),6.6,53,241637
1899,The A-Team,(2010),6.7,47,237272
1900,The Other Guys,(2010),6.6,64,224762
1901,The Twilight Saga: Eclipse,(2010),5.0,58,214110
1902,Grown Ups,(I) (2010),5.9,30,213850
1903,Megamind,(2010),7.2,63,211365
1904,The Tourist,(I) (2010),6.0,37,209216
1905,Predators,(2010),6.4,51,201978
1906,Machete,(2010),6.6,60,183686
1907,Unstoppable,(2010),6.7,69,174776
1908,Blue Valentine,(2010),7.4,81,172198
1909,Knight and Day,(2010),6.3,46,171354
1910,Shrek Forever After,(2010),6.3,58,170443
1911,The Next Three Days,(2010),7.4,52,170421
1912,Love & Other Drugs,(2010),6.7,55,169740
1913,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,47,167028
1914,Get Him to the Greek,(2010),6.4,65,162731
1915,Tucker and Dale vs Evil,(2010),7.5,65,155643
1916,Inception,(2010),8.8,74,1872580
1917,Shutter Island,(2010),8.1,63,1024826
1918,Toy Story 3,(2010),8.3,92,699561
1919,Iron Man 2,(2010),7.0,57,670922
1920,Black Swan,(2010),8.0,79,656932
1921,How to Train Your Dragon,(2010),8.1,74,620187
1922,The King's Speech,(2010),8.0,88,600423
1923,The Social Network,(2010),7.7,95,575599
1924,Kick-Ass,(2010),7.6,66,502133
1925,Despicable Me,(2010),7.6,72,470798
1926,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65,433211
1927,Tangled,(2010),7.7,71,372590
1928,Alice in Wonderland,(I) (2010),6.4,53,362692
1929,Scott Pilgrim vs. the World,(2010),7.5,69,344531
1930,Easy A,(2010),7.1,72,334914
1931,127 Hours,(2010),7.6,82,327940
1932,The Town,(2010),7.5,74,326537
1933,The Fighter,(I) (2010),7.8,79,319697
1934,The Expendables,(2010),6.5,45,310862
1935,Due Date,(2010),6.5,51,306929
1936,Tron,(2010),6.8,49,298857
1937,True Grit,(2010),7.6,80,288151
1938,Salt,(2010),6.4,65,279738
1939,The Book of Eli,(2010),6.9,53,275483
1940,RED,(2010),7.0,60,274067
1941,Clash of the Titans,(2010),5.8,39,259126
1942,Insidious,(I) (2010),6.8,52,258531
1943,Prince of Persia: The Sands of Time,(2010),6.6,50,258128
1944,Robin Hood,(2010),6.6,53,241637
1945,The A-Team,(2010),6.7,47,237272
1946,The Other Guys,(2010),6.6,64,224762
1947,The Twilight Saga: Eclipse,(2010),5.0,58,214110
1948,Grown Ups,(I) (2010),5.9,30,213850
1949,Megamind,(2010),7.2,63,211365
1950,The Tourist,(I) (2010),6.0,37,209216
1951,Predators,(2010),6.4,51,201978
1952,Machete,(2010),6.6,60,183686
1953,Unstoppable,(2010),6.7,69,174776
1954,Blue Valentine,(2010),7.4,81,172198
1955,Knight and Day,(2010),6.3,46,171354
1956,Shrek Forever After,(2010),6.3,58,170443
1957,The Next Three Days,(2010),7.4,52,170421
1958,Love & Other Drugs,(2010),6.7,55,169740
1959,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,47,167028
1960,Get Him to the Greek,(2010),6.4,65,162731
1961,Tucker and Dale vs Evil,(2010),7.5,65,155643
1962,Inception,(2010),8.8,74,1872580
1963,Shutter Island,(2010),8.1,63,1024826
1964,Toy Story 3,(2010),8.3,92,699561
1965,Iron Man 2,(2010),7.0,57,670922
1966,Black Swan,(2010),8.0,79,656932
1967,How to Train Your Dragon,(2010),8.1,74,620187
1968,The King's Speech,(2010),8.0,88,600423
1969,The Social Network,(2010),7.7,95,575599
1970,Kick-Ass,(2010),7.6,66,502133
1971,Despicable Me,(2010),7.6,72,470798
1972,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65,433211
1973,Tangled,(2010),7.7,71,372590
1974,Alice in Wonderland,(I) (2010),6.4,53,362692
1975,Scott Pilgrim vs. the World,(2010),7.5,69,344531
1976,Easy A,(2010),7.1,72,334914
1977,127 Hours,(2010),7.6,82,327940
1978,The Town,(2010),7.5,74,326537
1979,The Fighter,(I) (2010),7.8,79,319697
1980,The Expendables,(2010),6.5,45,310862
1981,Due Date,(2010),6.5,51,306929
1982,Tron,(2010),6.8,49,298857
1983,True Grit,(2010),7.6,80,288151
1984,Salt,(2010),6.4,65,279738
1985,The Book of Eli,(2010),6.9,53,275483
1986,RED,(2010),7.0,60,274067
1987,Clash of the Titans,(2010),5.8,39,259126
1988,Insidious,(I) (2010),6.8,52,258531
1989,Prince of Persia: The Sands of Time,(2010),6.6,50,258128
1990,Robin Hood,(2010),6.6,53,241637
1991,The A-Team,(2010),6.7,47,237272
1992,The Other Guys,(2010),6.6,64,224762
1993,The Twilight Saga: Eclipse,(2010),5.0,58,214110
1994,Grown Ups,(I) (2010),5.9,30,213850
1995,Megamind,(2010),7.2,63,211365
1996,The Tourist,(I) (2010),6.0,37,209216
1997,Predators,(2010),6.4,51,201978
1998,Machete,(2010),6.6,60,183686
1999,Unstoppable,(2010),6.7,69,174776
2000,Blue Valentine,(2010),7.4,81,172198
2001,Knight and Day,(2010),6.3,46,171354
2002,Shrek Forever After,(2010),6.3,58,170443
2003,The Next Three Days,(2010),7.4,52,170421
2004,Love & Other Drugs,(2010),6.7,55,169740
2005,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,47,167028
2006,Get Him to the Greek,(2010),6.4,65,162731
2007,Tucker and Dale vs Evil,(2010),7.5,65,155643
2008,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,87,702304
2009,Thor,(2011),7.0,57,696335
2010,The Intouchables,(2011),8.5,57,690145
2011,Captain America: The First Avenger,(2011),6.9,66,682437
2012,X: First Class,(2011),7.7,65,617143
2013,Drive,(I) (2011),7.8,78,528704
2014,Limitless,(I) (2011),7.4,59,498078
2015,Rise of the Planet of the Apes,(2011),7.6,68,476909
2016,Source Code,(2011),7.5,74,457383
2017,Pirates of the Caribbean: On Stranger Tides,(2011),6.6,45,453045
2018,"Crazy, Stupid, Love.",(2011),7.4,68,441539
2019,The Hangover Part II,(2011),6.4,44,437863
2020,Mission: Impossible - Ghost Protocol,(2011),7.4,73,433044
2021,Warrior,(2011),8.2,71,408202
2022,Horrible Bosses,(2011),6.9,57,402415
2023,Sherlock Holmes: A Game of Shadows,(2011),7.5,48,398278
2024,The Help,(2011),8.1,62,397727
2025,The Girl with the Dragon Tattoo,(2011),7.8,71,392334
2026,Transformers: Dark of the Moon,(2011),6.2,42,369488
2027,Midnight in Paris,(2011),7.7,81,361010
2028,In Time,(2011),6.7,53,349627
2029,The Cabin in the Woods,(2011),7.0,72,344025
2030,Fast Five,(2011),7.3,66,334193
2031,Moneyball,(2011),7.6,87,331557
2032,Super 8,(2011),7.0,72,322812
2033,Friends with Benefits,(2011),6.5,63,320899
2034,50/50,(2011),7.6,72,303341
2035,Hugo,(2011),7.5,83,287409
2036,Real Steel,(2011),7.1,56,285472
2037,Green Lantern,(2011),5.5,39,254487
2038,Bridesmaids,(I) (2011),6.8,75,252547
2039,Unknown,(I) (2011),6.8,56,237020
2040,Kung Fu Panda 2,(2011),7.2,67,232917
2041,The Grey,(2011),6.8,64,230632
2042,The Adjustment Bureau,(2011),7.0,60,230190
2043,The Descendants,(2011),7.3,84,224910
2044,Paul,(2011),7.0,57,222716
2045,Sucker Punch,(2011),6.0,33,220078
2046,I Am Number Four,(2011),6.1,36,219515
2047,Rango,(2011),7.2,75,218898
2048,The Artist,(I) (2011),7.9,89,218823
2049,The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,45,210663
2050,The Ides of March,(2011),7.1,67,208531
2051,Just Go with It,(2011),6.4,33,205013
2052,The Adventures of Tintin,(2011),7.3,68,204552
2053,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,87,702304
2054,Thor,(2011),7.0,57,696335
2055,The Intouchables,(2011),8.5,57,690145
2056,Captain America: The First Avenger,(2011),6.9,66,682437
2057,X: First Class,(2011),7.7,65,617143
2058,Drive,(I) (2011),7.8,78,528704
2059,Limitless,(I) (2011),7.4,59,498078
2060,Rise of the Planet of the Apes,(2011),7.6,68,476909
2061,Source Code,(2011),7.5,74,457383
2062,Pirates of the Caribbean: On Stranger Tides,(2011),6.6,45,453045
2063,"Crazy, Stupid, Love.",(2011),7.4,68,441539
2064,The Hangover Part II,(2011),6.4,44,437863
2065,Mission: Impossible - Ghost Protocol,(2011),7.4,73,433044
2066,Warrior,(2011),8.2,71,408202
2067,Horrible Bosses,(2011),6.9,57,402415
2068,Sherlock Holmes: A Game of Shadows,(2011),7.5,48,398278
2069,The Help,(2011),8.1,62,397727
2070,The Girl with the Dragon Tattoo,(2011),7.8,71,392334
2071,Transformers: Dark of the Moon,(2011),6.2,42,369488
2072,Midnight in Paris,(2011),7.7,81,361010
2073,In Time,(2011),6.7,53,349627
2074,The Cabin in the Woods,(2011),7.0,72,344025
2075,Fast Five,(2011),7.3,66,334193
2076,Moneyball,(2011),7.6,87,331557
2077,Super 8,(2011),7.0,72,322812
2078,Friends with Benefits,(2011),6.5,63,320899
2079,50/50,(2011),7.6,72,303341
2080,Hugo,(2011),7.5,83,287409
2081,Real Steel,(2011),7.1,56,285472
2082,Green Lantern,(2011),5.5,39,254487
2083,Bridesmaids,(I) (2011),6.8,75,252547
2084,Unknown,(I) (2011),6.8,56,237020
2085,Kung Fu Panda 2,(2011),7.2,67,232917
2086,The Grey,(2011),6.8,64,230632
2087,The Adjustment Bureau,(2011),7.0,60,230190
2088,The Descendants,(2011),7.3,84,224910
2089,Paul,(2011),7.0,57,222716
2090,Sucker Punch,(2011),6.0,33,220078
2091,I Am Number Four,(2011),6.1,36,219515
2092,Rango,(2011),7.2,75,218898
2093,The Artist,(I) (2011),7.9,89,218823
2094,The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,45,210663
2095,The Ides of March,(2011),7.1,67,208531
2096,Just Go with It,(2011),6.4,33,205013
2097,The Adventures of Tintin,(2011),7.3,68,204552
2098,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,87,702304
2099,Thor,(2011),7.0,57,696335
2100,The Intouchables,(2011),8.5,57,690145
2101,Captain America: The First Avenger,(2011),6.9,66,682437
2102,X: First Class,(2011),7.7,65,617143
2103,Drive,(I) (2011),7.8,78,528704
2104,Limitless,(I) (2011),7.4,59,498078
2105,Rise of the Planet of the Apes,(2011),7.6,68,476909
2106,Source Code,(2011),7.5,74,457383
2107,Pirates of the Caribbean: On Stranger Tides,(2011),6.6,45,453045
2108,"Crazy, Stupid, Love.",(2011),7.4,68,441539
2109,The Hangover Part II,(2011),6.4,44,437863
2110,Mission: Impossible - Ghost Protocol,(2011),7.4,73,433044
2111,Warrior,(2011),8.2,71,408202
2112,Horrible Bosses,(2011),6.9,57,402415
2113,Sherlock Holmes: A Game of Shadows,(2011),7.5,48,398278
2114,The Help,(2011),8.1,62,397727
2115,The Girl with the Dragon Tattoo,(2011),7.8,71,392334
2116,Transformers: Dark of the Moon,(2011),6.2,42,369488
2117,Midnight in Paris,(2011),7.7,81,361010
2118,In Time,(2011),6.7,53,349627
2119,The Cabin in the Woods,(2011),7.0,72,344025
2120,Fast Five,(2011),7.3,66,334193
2121,Moneyball,(2011),7.6,87,331557
2122,Super 8,(2011),7.0,72,322812
2123,Friends with Benefits,(2011),6.5,63,320899
2124,50/50,(2011),7.6,72,303341
2125,Hugo,(2011),7.5,83,287409
2126,Real Steel,(2011),7.1,56,285472
2127,Green Lantern,(2011),5.5,39,254487
2128,Bridesmaids,(I) (2011),6.8,75,252547
2129,Unknown,(I) (2011),6.8,56,237020
2130,Kung Fu Panda 2,(2011),7.2,67,232917
2131,The Grey,(2011),6.8,64,230632
2132,The Adjustment Bureau,(2011),7.0,60,230190
2133,The Descendants,(2011),7.3,84,224910
2134,Paul,(2011),7.0,57,222716
2135,Sucker Punch,(2011),6.0,33,220078
2136,I Am Number Four,(2011),6.1,36,219515
2137,Rango,(2011),7.2,75,218898
2138,The Artist,(I) (2011),7.9,89,218823
2139,The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,45,210663
2140,The Ides of March,(2011),7.1,67,208531
2141,Just Go with It,(2011),6.4,33,205013
2142,The Adventures of Tintin,(2011),7.3,68,204552
2143,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,87,702304
2144,Thor,(2011),7.0,57,696335
2145,The Intouchables,(2011),8.5,57,690145
2146,Captain America: The First Avenger,(2011),6.9,66,682437
2147,X: First Class,(2011),7.7,65,617143
2148,Drive,(I) (2011),7.8,78,528704
2149,Limitless,(I) (2011),7.4,59,498078
2150,Rise of the Planet of the Apes,(2011),7.6,68,476909
2151,Source Code,(2011),7.5,74,457383
2152,Pirates of the Caribbean: On Stranger Tides,(2011),6.6,45,453045
2153,"Crazy, Stupid, Love.",(2011),7.4,68,441539
2154,The Hangover Part II,(2011),6.4,44,437863
2155,Mission: Impossible - Ghost Protocol,(2011),7.4,73,433044
2156,Warrior,(2011),8.2,71,408202
2157,Horrible Bosses,(2011),6.9,57,402415
2158,Sherlock Holmes: A Game of Shadows,(2011),7.5,48,398278
2159,The Help,(2011),8.1,62,397727
2160,The Girl with the Dragon Tattoo,(2011),7.8,71,392334
2161,Transformers: Dark of the Moon,(2011),6.2,42,369488
2162,Midnight in Paris,(2011),7.7,81,361010
2163,In Time,(2011),6.7,53,349627
2164,The Cabin in the Woods,(2011),7.0,72,344025
2165,Fast Five,(2011),7.3,66,334193
2166,Moneyball,(2011),7.6,87,331557
2167,Super 8,(2011),7.0,72,322812
2168,Friends with Benefits,(2011),6.5,63,320899
2169,50/50,(2011),7.6,72,303341
2170,Hugo,(2011),7.5,83,287409
2171,Real Steel,(2011),7.1,56,285472
2172,Green Lantern,(2011),5.5,39,254487
2173,Bridesmaids,(I) (2011),6.8,75,252547
2174,Unknown,(I) (2011),6.8,56,237020
2175,Kung Fu Panda 2,(2011),7.2,67,232917
2176,The Grey,(2011),6.8,64,230632
2177,The Adjustment Bureau,(2011),7.0,60,230190
2178,The Descendants,(2011),7.3,84,224910
2179,Paul,(2011),7.0,57,222716
2180,Sucker Punch,(2011),6.0,33,220078
2181,I Am Number Four,(2011),6.1,36,219515
2182,Rango,(2011),7.2,75,218898
2183,The Artist,(I) (2011),7.9,89,218823
2184,The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,45,210663
2185,The Ides of March,(2011),7.1,67,208531
2186,Just Go with It,(2011),6.4,33,205013
2187,The Adventures of Tintin,(2011),7.3,68,204552
2188,The Dark Knight Rises,(2012),8.4,78,1406926
2189,Django Unchained,(2012),8.4,81,1235846
2190,The Avengers,(2012),8.0,69,1199371
2191,The Hunger Games,(2012),7.2,68,802697
2192,The Hobbit: An Unexpected Journey,(2012),7.8,58,725296
2193,Silver Linings Playbook,(2012),7.7,81,626679
2194,Skyfall,(2012),7.7,81,597335
2195,Ted,(2012),6.9,62,543580
2196,Prometheus,(I) (2012),7.0,64,543494
2197,Life of Pi,(2012),7.9,79,543247
2198,Argo,(2012),7.7,86,540550
2199,The Amazing Spider-Man,(2012),6.9,66,532338
2200,Looper,(2012),7.4,84,505983
2201,21 Jump Street,(2012),7.2,69,483208
2202,The Perks of Being a Wallflower,(2012),8.0,67,427441
2203,Wreck-It Ralph,(2012),7.7,72,351737
2204,Brave,(2012),7.1,69,344420
2205,Cloud Atlas,(2012),7.4,55,329345
2206,Men in Black 3,(2012),6.8,58,315993
2207,Flight,(I) (2012),7.3,76,306561
2208,Moonrise Kingdom,(2012),7.8,84,295372
2209,Les Misérables,(2012),7.6,63,289297
2210,Jack Reacher,(2012),7.0,50,288176
2211,The Expendables 2,(2012),6.6,51,279992
2212,Taken 2,(2012),6.2,45,275817
2213,The Bourne Legacy,(2012),6.7,61,271182
2214,Snow White and the Huntsman,(2012),6.1,57,261270
2215,Pitch Perfect,(2012),7.2,66,259901
2216,Zero Dark Thirty,(2012),7.4,95,254242
2217,The Dictator,(2012),6.4,58,254182
2218,Jagten,(2012),8.3,77,247501
2219,John Carter,(2012),6.6,51,244127
2220,Dredd,(2012),7.1,60,237313
2221,Dark Shadows,(2012),6.2,55,232875
2222,Lincoln,(2012),7.3,86,231195
2223,Chronicle,(2012),7.0,69,231067
2224,Total Recall,(I) (2012),6.3,43,230439
2225,The Place Beyond the Pines,(2012),7.3,68,229562
2226,Battleship,(2012),5.8,41,226893
2227,Seven Psychopaths,(2012),7.2,66,226126
2228,The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,217480
2229,Lawless,(2012),7.3,58,215976
2230,End of Watch,(2012),7.6,68,213840
2231,Hotel Transylvania,(2012),7.1,47,207406
2232,Sinister,(I) (2012),6.8,53,201677
2233,Safe House,(2012),6.7,52,194561
2234,American Reunion,(2012),6.7,49,193877
2235,Lo imposible,(2012),7.6,73,181119
2236,Project X,(2012),6.6,48,179623
2237,The Dark Knight Rises,(2012),8.4,78,1406926
2238,Django Unchained,(2012),8.4,81,1235846
2239,The Avengers,(2012),8.0,69,1199371
2240,The Hunger Games,(2012),7.2,68,802697
2241,The Hobbit: An Unexpected Journey,(2012),7.8,58,725296
2242,Silver Linings Playbook,(2012),7.7,81,626679
2243,Skyfall,(2012),7.7,81,597335
2244,Ted,(2012),6.9,62,543580
2245,Prometheus,(I) (2012),7.0,64,543494
2246,Life of Pi,(2012),7.9,79,543247
2247,Argo,(2012),7.7,86,540550
2248,The Amazing Spider-Man,(2012),6.9,66,532338
2249,Looper,(2012),7.4,84,505983
2250,21 Jump Street,(2012),7.2,69,483208
2251,The Perks of Being a Wallflower,(2012),8.0,67,427441
2252,Wreck-It Ralph,(2012),7.7,72,351737
2253,Brave,(2012),7.1,69,344420
2254,Cloud Atlas,(2012),7.4,55,329345
2255,Men in Black 3,(2012),6.8,58,315993
2256,Flight,(I) (2012),7.3,76,306561
2257,Moonrise Kingdom,(2012),7.8,84,295372
2258,Les Misérables,(2012),7.6,63,289297
2259,Jack Reacher,(2012),7.0,50,288176
2260,The Expendables 2,(2012),6.6,51,279992
2261,Taken 2,(2012),6.2,45,275817
2262,The Bourne Legacy,(2012),6.7,61,271182
2263,Snow White and the Huntsman,(2012),6.1,57,261270
2264,Pitch Perfect,(2012),7.2,66,259901
2265,Zero Dark Thirty,(2012),7.4,95,254242
2266,The Dictator,(2012),6.4,58,254182
2267,Jagten,(2012),8.3,77,247501
2268,John Carter,(2012),6.6,51,244127
2269,Dredd,(2012),7.1,60,237313
2270,Dark Shadows,(2012),6.2,55,232875
2271,Lincoln,(2012),7.3,86,231195
2272,Chronicle,(2012),7.0,69,231067
2273,Total Recall,(I) (2012),6.3,43,230439
2274,The Place Beyond the Pines,(2012),7.3,68,229562
2275,Battleship,(2012),5.8,41,226893
2276,Seven Psychopaths,(2012),7.2,66,226126
2277,The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,217480
2278,Lawless,(2012),7.3,58,215976
2279,End of Watch,(2012),7.6,68,213840
2280,Hotel Transylvania,(2012),7.1,47,207406
2281,Sinister,(I) (2012),6.8,53,201677
2282,Safe House,(2012),6.7,52,194561
2283,American Reunion,(2012),6.7,49,193877
2284,Lo imposible,(2012),7.6,73,181119
2285,Project X,(2012),6.6,48,179623
2286,The Dark Knight Rises,(2012),8.4,78,1406926
2287,Django Unchained,(2012),8.4,81,1235846
2288,The Avengers,(2012),8.0,69,1199371
2289,The Hunger Games,(2012),7.2,68,802697
2290,The Hobbit: An Unexpected Journey,(2012),7.8,58,725296
2291,Silver Linings Playbook,(2012),7.7,81,626679
2292,Skyfall,(2012),7.7,81,597335
2293,Ted,(2012),6.9,62,543580
2294,Prometheus,(I) (2012),7.0,64,543494
2295,Life of Pi,(2012),7.9,79,543247
2296,Argo,(2012),7.7,86,540550
2297,The Amazing Spider-Man,(2012),6.9,66,532338
2298,Looper,(2012),7.4,84,505983
2299,21 Jump Street,(2012),7.2,69,483208
2300,The Perks of Being a Wallflower,(2012),8.0,67,427441
2301,Wreck-It Ralph,(2012),7.7,72,351737
2302,Brave,(2012),7.1,69,344420
2303,Cloud Atlas,(2012),7.4,55,329345
2304,Men in Black 3,(2012),6.8,58,315993
2305,Flight,(I) (2012),7.3,76,306561
2306,Moonrise Kingdom,(2012),7.8,84,295372
2307,Les Misérables,(2012),7.6,63,289297
2308,Jack Reacher,(2012),7.0,50,288176
2309,The Expendables 2,(2012),6.6,51,279992
2310,Taken 2,(2012),6.2,45,275817
2311,The Bourne Legacy,(2012),6.7,61,271182
2312,Snow White and the Huntsman,(2012),6.1,57,261270
2313,Pitch Perfect,(2012),7.2,66,259901
2314,Zero Dark Thirty,(2012),7.4,95,254242
2315,The Dictator,(2012),6.4,58,254182
2316,Jagten,(2012),8.3,77,247501
2317,John Carter,(2012),6.6,51,244127
2318,Dredd,(2012),7.1,60,237313
2319,Dark Shadows,(2012),6.2,55,232875
2320,Lincoln,(2012),7.3,86,231195
2321,Chronicle,(2012),7.0,69,231067
2322,Total Recall,(I) (2012),6.3,43,230439
2323,The Place Beyond the Pines,(2012),7.3,68,229562
2324,Battleship,(2012),5.8,41,226893
2325,Seven Psychopaths,(2012),7.2,66,226126
2326,The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,217480
2327,Lawless,(2012),7.3,58,215976
2328,End of Watch,(2012),7.6,68,213840
2329,Hotel Transylvania,(2012),7.1,47,207406
2330,Sinister,(I) (2012),6.8,53,201677
2331,Safe House,(2012),6.7,52,194561
2332,American Reunion,(2012),6.7,49,193877
2333,Lo imposible,(2012),7.6,73,181119
2334,Project X,(2012),6.6,48,179623
2335,The Dark Knight Rises,(2012),8.4,78,1406926
2336,Django Unchained,(2012),8.4,81,1235846
2337,The Avengers,(2012),8.0,69,1199371
2338,The Hunger Games,(2012),7.2,68,802697
2339,The Hobbit: An Unexpected Journey,(2012),7.8,58,725296
2340,Silver Linings Playbook,(2012),7.7,81,626679
2341,Skyfall,(2012),7.7,81,597335
2342,Ted,(2012),6.9,62,543580
2343,Prometheus,(I) (2012),7.0,64,543494
2344,Life of Pi,(2012),7.9,79,543247
2345,Argo,(2012),7.7,86,540550
2346,The Amazing Spider-Man,(2012),6.9,66,532338
2347,Looper,(2012),7.4,84,505983
2348,21 Jump Street,(2012),7.2,69,483208
2349,The Perks of Being a Wallflower,(2012),8.0,67,427441
2350,Wreck-It Ralph,(2012),7.7,72,351737
2351,Brave,(2012),7.1,69,344420
2352,Cloud Atlas,(2012),7.4,55,329345
2353,Men in Black 3,(2012),6.8,58,315993
2354,Flight,(I) (2012),7.3,76,306561
2355,Moonrise Kingdom,(2012),7.8,84,295372
2356,Les Misérables,(2012),7.6,63,289297
2357,Jack Reacher,(2012),7.0,50,288176
2358,The Expendables 2,(2012),6.6,51,279992
2359,Taken 2,(2012),6.2,45,275817
2360,The Bourne Legacy,(2012),6.7,61,271182
2361,Snow White and the Huntsman,(2012),6.1,57,261270
2362,Pitch Perfect,(2012),7.2,66,259901
2363,Zero Dark Thirty,(2012),7.4,95,254242
2364,The Dictator,(2012),6.4,58,254182
2365,Jagten,(2012),8.3,77,247501
2366,John Carter,(2012),6.6,51,244127
2367,Dredd,(2012),7.1,60,237313
2368,Dark Shadows,(2012),6.2,55,232875
2369,Lincoln,(2012),7.3,86,231195
2370,Chronicle,(2012),7.0,69,231067
2371,Total Recall,(I) (2012),6.3,43,230439
2372,The Place Beyond the Pines,(2012),7.3,68,229562
2373,Battleship,(2012),5.8,41,226893
2374,Seven Psychopaths,(2012),7.2,66,226126
2375,The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,217480
2376,Lawless,(2012),7.3,58,215976
2377,End of Watch,(2012),7.6,68,213840
2378,Hotel Transylvania,(2012),7.1,47,207406
2379,Sinister,(I) (2012),6.8,53,201677
2380,Safe House,(2012),6.7,52,194561
2381,American Reunion,(2012),6.7,49,193877
2382,Lo imposible,(2012),7.6,73,181119
2383,Project X,(2012),6.6,48,179623
2384,The Wolf of Wall Street,(2013),8.2,75,1056918
2385,Gravity,(2013),7.7,96,720141
2386,Iron Man Three,(2013),7.2,62,705635
2387,Man of Steel,(2013),7.1,55,654863
2388,12 Years a Slave,(2013),8.1,96,586121
2389,The Hunger Games: Catching Fire,(2013),7.5,76,581329
2390,The Hobbit: The Desolation of Smaug,(2013),7.8,66,570917
2391,World War Z,(2013),7.0,63,560952
2392,Now You See Me,(I) (2013),7.3,50,559564
2393,Thor: The Dark World,(2013),6.9,54,552324
2394,Prisoners,(2013),8.1,74,536989
2395,Frozen,(I) (2013),7.5,74,524394
2396,Her,(2013),8.0,90,477466
2397,Oblivion,(I) (2013),7.0,54,459364
2398,Star Trek Into Darkness,(2013),7.7,72,448389
2399,Pacific Rim,(2013),6.9,65,447746
2400,The Great Gatsby,(2013),7.3,55,440223
2401,American Hustle,(2013),7.2,90,422551
2402,Dallas Buyers Club,(2013),8.0,84,407511
2403,The Wolverine,(2013),6.7,61,407042
2404,The Conjuring,(2013),7.5,68,406463
2405,Elysium,(I) (2013),6.6,61,399795
2406,Rush,(I) (2013),8.1,75,399124
2407,Captain Phillips,(2013),7.8,83,392262
2408,We're the Millers,(2013),7.0,44,376311
2409,This Is the End,(2013),6.6,67,364672
2410,Furious 6,(2013),7.1,61,350880
2411,Despicable Me 2,(2013),7.4,62,348879
2412,Monsters University,(2013),7.3,65,297261
2413,The Secret Life of Walter Mitty,(2013),7.3,54,278160
2414,The Hangover Part III,(2013),5.8,30,275007
2415,About Time,(I) (2013),7.8,55,270663
2416,Lone Survivor,(2013),7.5,60,249721
2417,Snowpiercer,(2013),7.1,84,246625
2418,Kick-Ass 2,(2013),6.5,41,241840
2419,Olympus Has Fallen,(2013),6.5,41,240110
2420,The World's End,(2013),7.0,81,240092
2421,Don Jon,(2013),6.5,66,218193
